title;Abstract;Aceito
Standard Business Reporting in Australia: efficiency, effectiveness, or both?;The benefits of using eXtensible Business Reporting Language (XBRL) as a business reporting standard have been widely canvassed in the extant literature, in particular, as the enabling technology for standard business reporting tools. One of the key benefits noted is the ability of standard business reporting to create significant efficiencies in the regulatory reporting process. Efficiency-driven cost reductions are highly desirable by data and report producers. However, they may not have the same potential to create long-term firm value as improved effectiveness of decision making. This study assesses the perceptions of Australian business stakeholders in relation to the benefits of the Australian standard business reporting instantiation (SBR) for financial reporting. These perceptions were drawn from interviews of persons knowledgeable in XBRL-based standard business reporting and submissions to Treasury relative to SBR reporting options. The combination of interviews and submissions permit insights into the views of various groups of stakeholders in relation to the potential benefits. In line with predictions based on a transaction-cost economics perspective, interviewees who primarily came from a data and report-producer background mentioned benefits that centre largely on asset specificity and efficiency. The interviewees who principally came from a data and report-consumer background mentioned benefits that centre on reducing decision-making uncertainty and decision-making effectiveness. The data and report consumers also took a broader view of the benefits of SBR to the financial reporting supply chain. Our research suggests that advocates of SBR have successfully promoted its efficiency benefits to potential users. However, the effectiveness benefits of SBR, for example, the decision-making benefits offered to investors via standardised reports, while becoming more broadly acknowledged, remain not a priority for all stakeholders;S
The Analysis and Prospect of Network Financial Report Based on XBRL;;N
The Awareness of the Extensible Business Reporting Language (XBRL) In Malaysia.;"The  current  study  had  explored  the  Extensible  Business  Reporting  Language  (XBRL) 
among  various  stakeholders  from  a  financial  reporting  perspective.  In  addition,  the 
impact of the benefits on users, organization and preparers might var
y according to the 
culture, country or financial regulations. Thus, this research will focus on Malaysia since 
Malaysia  is  multi
-
cultural  and  the  adoption  of  XBRL  can  be  considered  as  a  new 
development. Pertaining to this research, it is important to under
stand the concept of a 
new   reporting   technology   and   the   way   XBRL   will   provide   interactive   data.   The 
awareness and intention to adopt the XBRL will resume effectively once users, preparers 
and  regulators  are  able  to  understand  the  whole  concept  of  XBRL.  Thi
s  research  is 
considered significant in order to explore the readiness and awareness of new reporting 
technology in Asia, particularly in Malaysia. This study found only a few respondents was 
fully  aware  of  XBRL,  while  the  majority  of  respondents  were  unaw
are  about  XBRL. 
Besides awareness, the study found that there are approximately 67.2% of respondents 
who  are  likely  to  investigate  the  XBRL  technology,  which  indicates  that  there  is  a 
possibility  that  XBRL  will  be  more  significant  and  eventually  accepted  b
y  stakeholders. 
This  study  found  that  approximately  3.1%  understood  fully  what  XBRL  is  and  18% 
understood the basic concepts.";N
The Integrated Reporting Movement: Meaning, Momentum, Motives and Materiality;;N
The “now” economy and the traditional accounting reporting model: Opportunities and challenges for \AIS\ research;The real time economy (RTE) can be characterized by a substantive acceleration of business measurement, assessment, and decision processes. It implies a new business model where there is reduction of intra-process and inter-process latency. The AIS research literature has failed to develop new paradigms for accounting of accelerated processes. This paper places key relevant research questions for accounting, assurance, and business information systems in the RTE;S
The role of XBRL in enhanced business reporting (EBR);This paper analyzes how XBRL (eXtensible Business Reporting Language) can contribute to EBR (Enhanced Business Reporting) to improve financial reports' transparency. We examine XBRL's technological and organizational advantages that can facilitate the implementation of the EBR model. XBRL, and the consortium associated with it, can help EBR provide greater interaction with users, help companies identify relevant reporting data, and harness technological advances to overcome the weaknesses inherent in traditional business reporting models. EBR and XBRL efforts combined can work effectively to improve the current business reporting model.;N
Visualising intangibles: Measuring and reporting in the knowledge economy, Stefano Zambon, Giuseppe Marzo (Eds.). Ashgate, Aldershot, \UK\ (2007);;N
XBRL: A New Global Paradigm for Business Financial Reporting;"Ranked as one of top ten technologies for accounting and auditing professionals, eXtensible Business Reporting Language XBRL is a freely available, open, and global standard language for exchanging business financial information digitally. XBRL holds the greatest promise for building a global standard that is pledged to enhance the accuracy, reliability, efficiency, accessibility and availability of electronic communication of business financial data. This paper sets out to provide a review of literature to lend insights into our understanding of XBRL adoption, implementation, and value realization assessment. A comprehensive review uncovers four sub-themes of research in XBRL adoption: perceived benefits of XBRL adoption; organizational readiness; external pressure; and XBRL adoption. Research challenges for future research are highlighted. 

XBRL: A New Global Paradigm for Business Financial Reporting. Available from: http://www.researchgate.net/publication/262273200_XBRL_A_New_Global_Paradigm_for_Business_Financial_Reporting [accessed Dec 3, 2015].";N
"XBRL; A New Language for Financial Reporting";;N
XBRL (Extensible Business Reporting Language): A Research Perspective;;S
XBRL for Financial Reporting: Evidence on Italian GAAP versus IFRS;;N
XSRL–Taxonomy of Scientific Reporting;;N
